Number xind yind east north data err wgt Elos Nlos Ulos
 149  893  777 129.062194744940 41.308357710680 -15.821314 0.05203      6 0.55414 0.10291 -0.82604
 150  870  753 129.060597522705 41.310024377360 -5.854429 0.27960     55 0.55402 0.10290 -0.82612
 151  870  773 129.060597522705 41.308635488460 -8.192456 0.17400     45 0.55399 0.10289 -0.82614
 152  893  772 129.062194744940 41.308704932905 -15.449438 0.07768     40 0.55415 0.10291 -0.82603
 153  887  751 129.061778078270 41.310163266250 -9.503947 0.37735     19 0.55414 0.10291 -0.82604
 154  906  757 129.063097522725 41.309746599580 -12.272728 0.21109     44 0.55427 0.10293 -0.82595
 155  906  770 129.063097522725 41.308843821795 -16.021978 0.46255    178 0.55425 0.10292 -0.82597
 156  922  770 129.064208633845 41.308843821795 -16.709864 0.37015    133 0.55436 0.10294 -0.82588
 157  919  756 129.064000300510 41.309816044025 -15.466965 0.27180     52 0.55437 0.10294 -0.82588
 158  905  777 129.063028078280 41.308357710680 -16.435869 0.46952      7 0.55423 0.10292 -0.82598
 159  923  794 129.064278078290 41.307177155115 -17.022205 0.31233     34 0.55433 0.10293 -0.82591
 160  924  789 129.064347522735 41.307524377340 -14.805376 0.14661     21 0.55435 0.10294 -0.82590
 161  938  783 129.065319744965 41.307941044010 -14.866126 0.34937    121 0.55446 0.10295 -0.82582
 162  938  790 129.065319744965 41.307454932895 -16.576508 0.20589     20 0.55445 0.10295 -0.82583
 163  954  791 129.066430856085 41.307385488450 -13.596433 0.27708     23 0.55456 0.10296 -0.82575
 164  950  786 129.066153078305 41.307732710675 -14.324810 0.11819     48 0.55454 0.10296 -0.82576
 165  958  786 129.066708633865 41.307732710675 -13.394951 0.32573     48 0.55460 0.10297 -0.82572
 166  938  762 129.065319744965 41.309399377355 -15.883456 0.36948     18 0.55449 0.10295 -0.82579
 167  954  770 129.066430856085 41.308843821795 -8.176127 0.41122     80 0.55460 0.10297 -0.82572
 168  954  756 129.066430856085 41.309816044025 -12.391500 0.29820     62 0.55462 0.10297 -0.82571
 169  911  829 129.063444744950 41.304746599540 -5.382488 0.12315      4 0.55420 0.10292 -0.82600
 170  918  829 129.063930856065 41.304746599540 -4.715226 0.24529      4 0.55425 0.10293 -0.82596
 171  907  835 129.063166967170 41.304329932870 -5.427113 0.28631     64 0.55416 0.10292 -0.82602
 172  906  849 129.063097522725 41.303357710640 -3.214633 0.36238    136 0.55414 0.10291 -0.82604
 173  921  850 129.064139189400 41.303288266195 -1.275473 0.36114     63 0.55425 0.10293 -0.82596
 174  920  833 129.064069744955 41.304468821760 -5.602582 0.10627     27 0.55426 0.10293 -0.82595
 175  954  849 129.066430856085 41.303357710640 -8.912706 0.35985     50 0.55449 0.10296 -0.82580
 176  939  827 129.065389189410 41.304885488430 -12.631442 0.44606     33 0.55441 0.10294 -0.82585
 177  957  825 129.066639189420 41.305024377320 -12.165161 0.47790     27 0.55454 0.10296 -0.82576
 178  978  821 129.068097522765 41.305302155100 -10.063302 0.46045    103 0.55470 0.10298 -0.82565
 179  972  844 129.067680856095 41.303704932865 -10.112347 0.18501     16 0.55463 0.10297 -0.82570
 180  972  848 129.067680856095 41.303427155085 -9.410011 0.04356     12 0.55463 0.10297 -0.82570
 181  976  844 129.067958633875 41.303704932865 -10.028534 0.16728     16 0.55466 0.10298 -0.82568
 182  980  838 129.068236411655 41.304121599535 -5.251339 0.30057     12 0.55470 0.10298 -0.82566
 183  980  841 129.068236411655 41.303913266200 -7.111442 0.04708     12 0.55469 0.10298 -0.82566
 184  984  841 129.068514189435 41.303913266200 -7.721982 0.07588     12 0.55472 0.10298 -0.82564
 185  984  838 129.068514189435 41.304121599535 -6.092016 0.22174     12 0.55472 0.10298 -0.82564
 186  990  839 129.068930856105 41.304052155090 -7.578911 0.15910     48 0.55477 0.10299 -0.82561
 187  998  839 129.069486411665 41.304052155090 -7.800020 0.17668     48 0.55483 0.10300 -0.82557
 188 1006  839 129.070041967225 41.304052155090 -7.033920 0.17715     46 0.55488 0.10300 -0.82553
 189 1002  843 129.069764189445 41.303774377310 -7.028296 0.05669     13 0.55485 0.10300 -0.82555
 190  970  756 129.067541967205 41.309816044025 -13.598304 0.32452     93 0.55474 0.10298 -0.82563
 191  971  771 129.067611411650 41.308774377350 -8.136147 0.26924     25 0.55472 0.10298 -0.82564
 192  985  769 129.068583633880 41.308913266240 -6.532145 0.17930     42 0.55483 0.10299 -0.82556
 193  985  754 129.068583633880 41.309954932915 -14.513308 0.20678     26 0.55485 0.10300 -0.82555
 194  967  787 129.067333633870 41.307663266230 -13.873791 0.16480     20 0.55467 0.10298 -0.82568
